resource_id,title,primary_chapter,formats,purpose,version,status,aligned_chapters,folder,primary_chapter_title,related_resources,tier,legacy_aliases,has_browser_form,browser_form_path,has_process_flow,process_flow_path,reader_level,primary_audience,estimated_time,required_inputs,expected_output,prerequisites,use_frequency,essential_or_optional,recommended_format,technical_skill_required,reader_pathway,default_visibility
AIHE-CASE09,AI Vendor Procurement and Contract Negotiation,9,md; csv; json; xlsx; ods,"How should the hospital compare vendors when a lower price is accompanied by weak audit, security, update, and exit provisions?",V1.0,public,9,chapters/09/worked_examples/AIHE-CASE09_ai_vendor_procurement_and_contract_negotiation,Problem-First Procurement and Vendor Governance,AIHE-D01; AIHE-D; AIHE-EX08; AIHE-EX09; AIHE-Q; AIHE-EX17; AIHE-PY17; AIHE-PY25,Worked case,,no,,no,,Introductory to applied,"Readers, students, practitioners, and facilitators",45–120 minutes,No local data required; synthetic assumptions are supplied,Completed case interpretation and conditional recommendation,Book Chapter 9 or the case orientation,"Orientation, training, or method demonstration",Recommended,"Browser demonstration, workbook, scenario, and worked solution",Low,Learn through a worked example,default
AIHE-PY17,AI pricing and contract scenario analysis,9,py; ipynb; xlsx; ods; csv; json; png; md,"Compares subscription, per-use, risk-sharing, and hybrid pricing arrangements under different volume, uptake, performance, and savings assumptions.",V1.0,public,"6, 9",chapters/09/python_analytics/AIHE-PY17_ai_pricing_and_contract_scenario_analysis,Problem-First Procurement and Vendor Governance,AIHE-B02; AIHE-D01; AIHE-CASE09,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 9; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying workbook",High,Run an analysis,advanced
AIHE-PY25,Weighted procurement scorecard with mandatory safeguards,9,py; ipynb; xlsx; ods; csv; json; png; md,"Ranks candidate AI products using weighted evidence domains while enforcing non-compensatory safety, privacy, equity, cybersecurity, audit, and exit safeguards.",V1.0,public,"9, 12, 14",chapters/09/python_analytics/AIHE-PY25_weighted_procurement_scorecard_with_mandatory_safeguards,Problem-First Procurement and Vendor Governance,AIHE-D01; AIHE-CASE09,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 9; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying workbook",High,Run an analysis,advanced
AIHE-D,AI Procurement Checklist,9,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Evaluate problem fit, evidence, integration, lifecycle cost, data rights, security, monitoring, updates, audit, and exit.",V1.0,optional,"9,12,14",chapters/09/core/AIHE-D01/supp/AIHE-D,Problem-First Procurement and Vendor Governance,AIHE-D01,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-D.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 9,As required by the decision,Optional or conditionally required,"DOCX/ODT, XLSX/ODS, or structured data",Moderate,Use a specialist resource,advanced
AIHE-EX08,Vendor Demonstration Evaluation Form,9,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Structure demonstrations around real workflows, evidence, limitations, usability, interoperability, monitoring, and unsupported claims.",V1.0,optional,"9,12",chapters/09/core/AIHE-D01/supp/AIHE-EX08,Problem-First Procurement and Vendor Governance,AIHE-D01,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-EX08.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 9,As required by the decision,Optional or conditionally required,"DOCX/ODT, XLSX/ODS, or structured data",Moderate,Use a specialist resource,advanced
AIHE-EX09,Contract Requirements and Exit Matrix,9,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Document intended use, evidence, audit, updates, data, security, service levels, pricing, termination, portability, and decommissioning clauses.",V1.0,optional,"9,12,14",chapters/09/core/AIHE-D01/supp/AIHE-EX09,Problem-First Procurement and Vendor Governance,AIHE-D01,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-EX09.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 9,As required by the decision,Optional or conditionally required,"DOCX/ODT, XLSX/ODS, or structured data",Moderate,Use a specialist resource,advanced
AIHE-C03,Integrated Institutional-Risk Review,10,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Review ethics, equity, privacy, cybersecurity, safety, continuity, trust, legal, and economic risks as one institutional system.",V1.0,public,"10, 12",chapters/10/core/AIHE-C03,"Governance, Accountability, and Institutional Risk",AIHE-C; AIHE-AB; AIHE-AC; AIHE-N; AIHE-G,Core,AIHE-C; AIHE-AB; AIHE-AC; AIHE-N; AIHE-G,yes,docs/forms/AIHE-C03/index.html,yes,docs/process/resources/AIHE-C03.html,Applied,Institutional decision-makers and multidisciplinary project teams,60–180 minutes,"Defined decision problem, realistic comparator, local evidence, named owners, and applicable institutional requirements","Versioned institutional decision record with conditions, monitoring, review date, and exit route",Book Chapter 10; governed working copy; accountable owner,At initiation and each material review,Essential when relevant to the decision,DOCX/ODT for narrative work; XLSX/ODS for registers and calculations,Low to moderate,Evaluate and govern institutional risk,default
AIHE-C05,Public Transparency and Communication Record,10,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Define accurate, accessible communication about intended use, limitations, oversight, data, complaints, incidents, and alternatives.",V1.0,public,"3, 10, 12",chapters/10/core/AIHE-C05,"Governance, Accountability, and Institutional Risk",AIHE-EX13,Core,AIHE-EX13,yes,docs/forms/AIHE-C05/index.html,yes,docs/process/resources/AIHE-C05.html,Applied,Institutional decision-makers and multidisciplinary project teams,60–180 minutes,"Defined decision problem, realistic comparator, local evidence, named owners, and applicable institutional requirements","Versioned institutional decision record with conditions, monitoring, review date, and exit route",Book Chapter 10; governed working copy; accountable owner,At initiation and each material review,Essential when relevant to the decision,DOCX/ODT for narrative work; XLSX/ODS for registers and calculations,Low to moderate,Communicate publicly and transparently,default
AIHE-RG04,"Regulatory, Standards, and Policy Update Register",10,docx; odt; xlsx; ods; csv; json; md,"Maintain date-stamped records for European, Romanian, and global legal, policy, standards, reimbursement, and guidance sources whose scope or implementation status may change.",V1.0,public,"2, 5, 7, 9, 10, 12-15",chapters/10/guides/AIHE-RG04,"Governance, Accountability, and Institutional Risk",,Reference guide,,yes,docs/forms/AIHE-RG04/index.html,yes,docs/process/resources/AIHE-RG04.html,Introductory to applied,"Readers selecting methods, standards, guidance, or appraisal tools",20–60 minutes,"Defined question, jurisdiction, study design, or implementation context",Documented selection and status of the relevant instrument,Book Chapter 10 or related decision pathway,Whenever guidance or standards are selected or updated,Recommended,"Browser form, DOCX/ODT, or spreadsheet",Low to moderate,Consult a reference guide,default
AIHE-CASE10,Patient-Facing Chatbot Institutional-Risk Review,10,md; csv; json; xlsx; ods,"Which uses can be permitted when convenience and call reduction coexist with privacy, safety, equity, and communication risks?",V1.0,public,10,chapters/10/worked_examples/AIHE-CASE10_patient_facing_chatbot_institutional_risk_review,"Governance, Accountability, and Institutional Risk",AIHE-C03; AIHE-C; AIHE-AB; AIHE-AC; AIHE-C05; AIHE-EX13; AIHE-PY07; AIHE-PY08; AIHE-PY26,Worked case,,no,,no,,Introductory to applied,"Readers, students, practitioners, and facilitators",45–120 minutes,No local data required; synthetic assumptions are supplied,Completed case interpretation and conditional recommendation,Book Chapter 10 or the case orientation,"Orientation, training, or method demonstration",Recommended,"Browser demonstration, workbook, scenario, and worked solution",Low,Learn through a worked example,default
AIHE-PY07,Feature importance and partial-dependence exploration,10,py; ipynb; xlsx; ods; csv; json; png; md,"Fits a tree ensemble, calculates permutation importance, and visualizes the relationship between the top feature and predicted risk.",V1.0,public,"3, 10, 11",chapters/10/python_analytics/AIHE-PY07_feature_importance_and_partial_dependence_exploration,"Governance, Accountability, and Institutional Risk",AIHE-C03; AIHE-CASE10,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 10; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying workbook",High,Run an analysis,advanced
AIHE-PY08,Subgroup performance and equity audit,10,py; ipynb; xlsx; ods; csv; json; png; md,"Compares AUC, calibration, sensitivity, specificity, predictive values, and selection rates across population groups.",V1.0,public,"7, 10, 11, 15",chapters/10/python_analytics/AIHE-PY08_subgroup_performance_and_equity_audit,"Governance, Accountability, and Institutional Risk",AIHE-C03; AIHE-CASE10,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 10; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying workbook",High,Run an analysis,advanced
AIHE-PY26,"Integrated privacy, cybersecurity, equity, safety, and trust risk register",10,py; ipynb; xlsx; ods; csv; json; png; md,"Scores inherent and residual risk, checks mitigation completeness, prioritizes overdue actions, and produces an accountable risk dashboard.",V1.0,public,"10, 12",chapters/10/python_analytics/AIHE-PY26_integrated_privacy_cybersecurity_equity_safety_and_trust_risk_register,"Governance, Accountability, and Institutional Risk",AIHE-C03; AIHE-CASE10,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 10; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying workbook",High,Run an analysis,advanced
AIHE-AB,Privacy and Cybersecurity Risk Register,10,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Record privacy, security, continuity, supplier, model, and incident risks with controls, owners, and review dates.",V1.0,optional,"10,12",chapters/10/core/AIHE-C03/supp/AIHE-AB,"Governance, Accountability, and Institutional Risk",AIHE-C03,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-AB.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 10,As required by the decision,Optional or conditionally required,"DOCX/ODT, XLSX/ODS, or structured data",Moderate,Use a specialist resource,advanced
AIHE-AC,Equity Impact Tool,10,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Identify affected groups, barriers, harms, mitigations, costs, residual concerns, and monitoring indicators.",V1.0,optional,"7,10,12,15",chapters/10/core/AIHE-C03/supp/AIHE-AC,"Governance, Accountability, and Institutional Risk",AIHE-C03,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-AC.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 10,As required by the decision,Optional or conditionally required,"DOCX/ODT, XLSX/ODS, or structured data",Moderate,Use a specialist resource,advanced
AIHE-C,Ethical Governance Checklist for Healthcare AI,10,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Translate autonomy, safety, transparency, fairness, oversight, accountability, and public value into evidence and action.",V1.0,optional,"10,12",chapters/10/core/AIHE-C03/supp/AIHE-C,"Governance, Accountability, and Institutional Risk",AIHE-C03,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-C.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 10,As required by the decision,Optional or conditionally required,"DOCX/ODT, XLSX/ODS, or structured data",Moderate,Use a specialist resource,advanced
AIHE-EX13,Public Transparency and Communication Notice,10,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Explain AI use, limits, human oversight, data handling, accessibility, questions, complaints, incidents, and human alternatives.",V1.0,optional,"3,10,12",chapters/10/core/AIHE-C05/supp/AIHE-EX13,"Governance, Accountability, and Institutional Risk",AIHE-C05,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-EX13.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 10,As required by the decision,Optional or conditionally required,"DOCX/ODT, XLSX/ODS, or structured data",Moderate,Use a specialist resource,advanced
AIHE-G,Sample Health-System AI Governance Charter,10,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Establish a health-system governance charter covering purpose, scope, membership, evidence, decisions, monitoring, incidents, updates, and de-adoption.",V1.0,optional,"10,12",chapters/10/core/AIHE-C03/supp/AIHE-G,"Governance, Accountability, and Institutional Risk",AIHE-C03,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-G.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 10,As required by the decision,Optional or conditionally required,"DOCX/ODT, XLSX/ODS, or structured data",Moderate,Use a specialist resource,advanced
AIHE-N,"Trust, Equity, and Public Value Workbook",10,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Integrate trust-adjusted value, distributional effects, mitigation, public value, confidence, and mandatory safeguards.",V1.0,optional,"1,7,10,12",chapters/10/core/AIHE-C03/supp/AIHE-N,"Governance, Accountability, and Institutional Risk",AIHE-C03,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-N.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 10,As required by the decision,Optional or conditionally required,"DOCX/ODT, XLSX/ODS, or structured data",Moderate,Use a specialist resource,advanced
AIHE-RG02,Reporting and Appraisal Tool Selection Guide,11,docx; odt; xlsx; ods; csv; json; md,"Match evidence type and study stage to current reporting and appraisal instruments without treating checklist completion as proof of validity, effectiveness, or regulatory conformity.",V1.0,public,"7, 8, 11",chapters/11/guides/AIHE-RG02,"Evidence, Validation, and Real-World Evaluation",,Reference guide,,yes,docs/forms/AIHE-RG02/index.html,yes,docs/process/resources/AIHE-RG02.html,Introductory to applied,"Readers selecting methods, standards, guidance, or appraisal tools",20–60 minutes,"Defined question, jurisdiction, study design, or implementation context",Documented selection and status of the relevant instrument,Book Chapter 11 or related decision pathway,Whenever guidance or standards are selected or updated,Recommended,"Browser form, DOCX/ODT, or spreadsheet",Low to moderate,Consult a reference guide,default
AIHE-RG06,Diagnostic and Predictive Evidence Appraisal Checklist,11,docx; odt; xlsx; ods; csv; json; md,"Appraise reference standards, index tests, data partitions, calibration, diagnostic accuracy, bias, subgroup performance, clinical utility, and downstream resource consequences.",V1.0,public,"3, 7, 8, 11",chapters/11/guides/AIHE-RG06,"Evidence, Validation, and Real-World Evaluation",,Reference guide,,yes,docs/forms/AIHE-RG06/index.html,yes,docs/process/resources/AIHE-RG06.html,Introductory to applied,"Readers selecting methods, standards, guidance, or appraisal tools",20–60 minutes,"Defined question, jurisdiction, study design, or implementation context",Documented selection and status of the relevant instrument,Book Chapter 11 or related decision pathway,Whenever guidance or standards are selected or updated,Recommended,"Browser form, DOCX/ODT, or spreadsheet",Low to moderate,Consult a reference guide,default
AIHE-CASE11,Local Validation and Causal Evaluation of a Readmission Model,11,md; csv; json; xlsx; ods,"Does local performance and observed service change support adoption, and what can reasonably be attributed to the AI-enabled pathway?",V1.0,public,11,chapters/11/worked_examples/AIHE-CASE11_local_validation_and_causal_evaluation_of_a_readmission_model,"Evidence, Validation, and Real-World Evaluation",AIHE-B05; AIHE-EX05; AIHE-EX04; AIHE-V; AIHE-PY04; AIHE-PY05; AIHE-PY24; AIHE-PY30; AIHE-PY31; AIHE-PY32,Worked case,,no,,no,,Introductory to applied,"Readers, students, practitioners, and facilitators",45–120 minutes,No local data required; synthetic assumptions are supplied,Completed case interpretation and conditional recommendation,Book Chapter 11 or the case orientation,"Orientation, training, or method demonstration",Recommended,"Browser demonstration, workbook, scenario, and worked solution",Low,Learn through a worked example,default
AIHE-EX05,Local Validation Report Template,11,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png; html,"Document intended use, local cohort, exact system version, discrimination, calibration, threshold-specific performance, subgroup findings, workflow, clinical utility, uncertainty, and the resulting local decision.",V1.0,public,"3, 8, 11, 12",chapters/11/supplemental/AIHE-EX05,"Evidence, Validation, and Real-World Evaluation",AIHE-B05; AIHE-RG02; AIHE-RG06; AIHE-CASE11; AIHE-V,Supplemental specialist tool,,yes,docs/demos/AIHE-EX05/index.html,yes,docs/process/resources/AIHE-EX05.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 11,As required by the decision,Optional or conditionally required,"DOCX/ODT, XLSX/ODS, or structured data",Moderate,Validate a system locally,advanced
AIHE-PY04,Predictive model development: logistic regression and random forest,11,py; ipynb; xlsx; ods; csv; json; png; md,"Builds two baseline classifiers, compares test performance, and exports predictions for later validation modules.",V1.0,public,"3, 11",chapters/11/python_analytics/AIHE-PY04_predictive_model_development_logistic_regression_and_random_forest,"Evidence, Validation, and Real-World Evaluation",AIHE-B05; AIHE-CASE11,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 11; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying workbook",High,Run an analysis,advanced
AIHE-PY05,"Model performance, threshold trade-offs, and calibration",11,py; ipynb; xlsx; ods; csv; json; png; md,"Calculates ROC AUC, Brier score, confusion-matrix measures across thresholds, calibration intercept and slope, and calibration bins.",V1.0,public,"3, 11",chapters/11/python_analytics/AIHE-PY05_model_performance_threshold_trade_offs_and_calibration,"Evidence, Validation, and Real-World Evaluation",AIHE-B05; AIHE-CASE11,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 11; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying workbook",High,Run an analysis,advanced
AIHE-PY24,Implementation evaluation with interrupted time series and control charts,11,py; ipynb; xlsx; ods; csv; json; png; md,"Evaluates change after an AI implementation using segmented regression, run charts, control limits, uptake, and balancing measures.",V1.0,public,"4, 11",chapters/11/python_analytics/AIHE-PY24_implementation_evaluation_with_interrupted_time_series_and_control_charts,"Evidence, Validation, and Real-World Evaluation",AIHE-C01; AIHE-B05; AIHE-CASE11,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 11; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying workbook",High,Run an analysis,advanced
AIHE-PY30,Random-effects meta-analysis and forest plot,11,py; ipynb; xlsx; ods; csv; json; png; md,"Pools study-level effects using inverse-variance fixed and DerSimonian-Laird random-effects methods, quantifies heterogeneity, and creates forest and funnel plots.",V1.0,public,11,chapters/11/python_analytics/AIHE-PY30_random_effects_meta_analysis_and_forest_plot,"Evidence, Validation, and Real-World Evaluation",AIHE-B05; AIHE-RG02; AIHE-CASE11,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 11; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying workbook",High,Run an analysis,advanced
AIHE-PY31,Difference-in-differences evaluation,11,py; ipynb; xlsx; ods; csv; json; png; md,Estimates the effect of AI implementation by comparing change over time in an intervention group with change in a comparison group.,V1.0,public,11,chapters/11/python_analytics/AIHE-PY31_difference_in_differences_evaluation,"Evidence, Validation, and Real-World Evaluation",AIHE-B05; AIHE-CASE11,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 11; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying workbook",High,Run an analysis,advanced
AIHE-PY32,Time-to-event and survival analysis,11,py; ipynb; xlsx; ods; csv; json; png; md,Estimates Kaplan-Meier survival curves and compares event timing between AI and comparator groups using a log-rank test.,V1.0,public,"7, 8, 11",chapters/11/python_analytics/AIHE-PY32_time_to_event_and_survival_analysis,"Evidence, Validation, and Real-World Evaluation",AIHE-B05; AIHE-CASE11,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 11; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying workbook",High,Run an analysis,advanced
AIHE-D02,"Lifecycle Gates, Staged Implementation, and Dossier Status",12,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Control increasing commitment through problem, readiness, evidence, local validation, economics, pilot, scale, renewal, and retirement gates.",V1.0,public,"4, 9, 11, 12",chapters/12/core/AIHE-D02,Decision Architecture and Lifecycle Governance,AIHE-Q; AIHE-R; AIHE-EX14; AIHE-EX10; AIHE-AE; AIHE-E; AIHE-EX02; AIHE-H; AIHE-K; AIHE-P; AIHE-V,Core,AIHE-Q; AIHE-R; AIHE-EX14; AIHE-EX10; AIHE-AE; AIHE-E; AIHE-EX02; AIHE-H; AIHE-K; AIHE-P; AIHE-V,yes,docs/forms/AIHE-D02/index.html,yes,docs/process/resources/AIHE-D02.html,Applied,Institutional decision-makers and multidisciplinary project teams,60–180 minutes,"Defined decision problem, realistic comparator, local evidence, named owners, and applicable institutional requirements","Versioned institutional decision record with conditions, monitoring, review date, and exit route",Book Chapter 12; governed working copy; accountable owner,At initiation and each material review,Essential when relevant to the decision,DOCX/ODT for narrative work; XLSX/ODS for registers and calculations,Low to moderate,Implement and monitor safely,default
AIHE-D03,Post-Deployment Monitoring and Algorithmovigilance Cadence,12,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Define recurring and event-triggered surveillance across technical, workflow, safety, equity, economic, and contractual domains.",V1.0,public,"5, 11, 12",chapters/12/core/AIHE-D03,Decision Architecture and Lifecycle Governance,AIHE-S,Core,AIHE-S,yes,docs/forms/AIHE-D03/index.html,yes,docs/process/resources/AIHE-D03.html,Applied,Institutional decision-makers and multidisciplinary project teams,60–180 minutes,"Defined decision problem, realistic comparator, local evidence, named owners, and applicable institutional requirements","Versioned institutional decision record with conditions, monitoring, review date, and exit route",Book Chapter 12; governed working copy; accountable owner,At initiation and each material review,Essential when relevant to the decision,DOCX/ODT for narrative work; XLSX/ODS for registers and calculations,Low to moderate,Implement and monitor safely,default
AIHE-D04,Incident Classification and Reconstruction,12,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Reconstruct technical, clinical, workflow, privacy, cybersecurity, equity, communication, and economic incidents consistently.",V1.0,public,"5, 10, 11, 12",chapters/12/core/AIHE-D04,Decision Architecture and Lifecycle Governance,AIHE-EX12,Core,AIHE-EX12,yes,docs/forms/AIHE-D04/index.html,yes,docs/process/resources/AIHE-D04.html,Applied,Institutional decision-makers and multidisciplinary project teams,60–180 minutes,"Defined decision problem, realistic comparator, local evidence, named owners, and applicable institutional requirements","Versioned institutional decision record with conditions, monitoring, review date, and exit route",Book Chapter 12; governed working copy; accountable owner,At initiation and each material review,Essential when relevant to the decision,DOCX/ODT for narrative work; XLSX/ODS for registers and calculations,Low to moderate,"Review an update, incident, or renewal",default
AIHE-D05,Change-Control and Renewal Record,12,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Assess material changes and periodic renewal across system, data, workflow, vendor, price, law, evidence, alternatives, and exit.",V1.0,public,"9, 11, 12, 14",chapters/12/core/AIHE-D05,Decision Architecture and Lifecycle Governance,AIHE-EX11; AIHE-T; AIHE-J,Core,AIHE-EX11; AIHE-T; AIHE-J,yes,docs/forms/AIHE-D05/index.html,yes,docs/process/resources/AIHE-D05.html,Applied,Institutional decision-makers and multidisciplinary project teams,60–180 minutes,"Defined decision problem, realistic comparator, local evidence, named owners, and applicable institutional requirements","Versioned institutional decision record with conditions, monitoring, review date, and exit route",Book Chapter 12; governed working copy; accountable owner,At initiation and each material review,Essential when relevant to the decision,DOCX/ODT for narrative work; XLSX/ODS for registers and calculations,Low to moderate,"Review an update, incident, or renewal",default
AIHE-RG01,Framework Status and Selection Guide,12,docx; odt; xlsx; ods; csv; json; md,"Distinguish legal instruments, standards, guidance, reporting guidelines, appraisal tools, implementation frameworks, and author-developed decision aids; select them according to function and authority.",V1.0,public,"2, 4, 5, 7, 9-12",chapters/12/guides/AIHE-RG01,Decision Architecture and Lifecycle Governance,,Reference guide,,yes,docs/forms/AIHE-RG01/index.html,yes,docs/process/resources/AIHE-RG01.html,Introductory to applied,"Readers selecting methods, standards, guidance, or appraisal tools",20–60 minutes,"Defined question, jurisdiction, study design, or implementation context",Documented selection and status of the relevant instrument,Book Chapter 12 or related decision pathway,Whenever guidance or standards are selected or updated,Recommended,"Browser form, DOCX/ODT, or spreadsheet",Low to moderate,Consult a reference guide,default
AIHE-CASE12,"Model Update, Incident Response, and Renewal Decision",12,md; csv; json; xlsx; ods,"Should the organization continue, restrict, roll back, replace, or retire the system after a material update and operational incident?",V1.0,public,12,chapters/12/worked_examples/AIHE-CASE12_model_update_incident_response_and_renewal_decision,Decision Architecture and Lifecycle Governance,AIHE-D02; AIHE-D03; AIHE-D04; AIHE-D05; AIHE-S; AIHE-EX11; AIHE-EX12; AIHE-PY09; AIHE-PY27; AIHE-PY29,Worked case,,no,,no,,Introductory to applied,"Readers, students, practitioners, and facilitators",45–120 minutes,No local data required; synthetic assumptions are supplied,Completed case interpretation and conditional recommendation,Book Chapter 12 or the case orientation,"Orientation, training, or method demonstration",Recommended,"Browser demonstration, workbook, scenario, and worked solution",Low,Learn through a worked example,default
